season,week,roof_class,plays_pg,ppg,tds_pg,epa_all,epa_pass,epa_rush,sec_per_play_all,no_huddle_rate,shotgun_rate,explosive_pass_rate,explosive_rush10_rate,explosive_rush15_rate
2005,1,INDOOR,63.833333333333336,27.0,3.0,-0.18190184557303454,-0.15557129248754772,-0.2921753173568539,30.874565547952642,0.017529539800995024,0.2017642472522677,0.05714285714285714,0.09154929577464789,0.04929577464788732
2005,1,OUTDOOR,64.23076923076923,41.07692307692308,4.6923076923076925,0.00219190257991651,0.1350646312203373,-0.1276864334760797,30.982966129375225,0.003210702341137124,0.16352010166793163,0.07509881422924901,0.09663250366032211,0.048316251830161056
2005,2,INDOOR,62.0,13.0,1.0,-0.06473711338366188,-0.1743522398321638,0.04249093732224745,32.50890688259109,0.01619644723092999,0.35292580982236155,0.078125,0.0967741935483871,0.03225806451612903
2005,2,OUTDOOR,62.666666666666664,36.8,4.133333333333334,-0.021594898786277697,0.05353901224695295,-0.11749231553373468,31.39309411543912,0.014438457717146243,0.1967426534194283,0.08006962576153177,0.10554089709762533,0.04221635883905013
2005,3,INDOOR,61.0,42.0,4.333333333333333,-0.060020879332668566,-0.0002927237159541703,-0.10438249964156787,32.04304210948948,0.0029239766081871343,0.1365577737447066,0.08558558558558559,0.11764705882352941,0.05228758169934641
2005,3,OUTDOOR,65.27272727272727,46.27272727272727,5.181818181818182,0.04205591764484537,0.1236083968908955,-0.047070071596934174,31.097484641313716,0.0064008909048353935,0.1540538864178629,0.07506053268765134,0.11058451816745656,0.05055292259083728
2005,4,INDOOR,61.0,33.0,3.0,-0.049016159518352455,-0.04775091537017833,0.06794829561144781,31.424478124583167,0.0,0.29976542082442387,0.058823529411764705,0.15966386554621848,0.09243697478991597
2005,4,OUTDOOR,63.125,42.416666666666664,4.583333333333333,0.041536953335488624,0.1484252705518956,-0.08252182068269923,30.83017088503385,0.030759115767027164,0.12709220290003087,0.07319698600645856,0.10049423393739704,0.029654036243822075
2005,5,INDOOR,67.125,58.25,6.75,0.10677362901790313,0.15854228547846438,0.054058828055384076,30.081127380234676,0.01644736842105263,0.11107841582759345,0.075,0.13274336283185842,0.03982300884955752
2005,5,OUTDOOR,63.25,39.2,4.3,-0.059797702787133755,-0.03796779508794352,-0.08182015259514311,31.571046085727055,0.009424603174603174,0.1628635901993443,0.06612685560053981,0.11275415896487985,0.04436229205175601
