season,week,game_id,team,side,roof_class,plays_all,epa_all,epa_pass,epa_rush,success_rate,no_huddle_rate,shotgun_rate,pass_plays,rush_plays,pass_exp_20,rush_exp_10
2005,1,2005_01_ARI_NYG,ARI,AWAY,OUTDOOR,83,-0.16591367668595658,-0.07420915141701698,-0.37505340948700905,0.3614457831325301,0.0,0.3132530120481928,65,20,2,1
2005,1,2005_01_PHI_ATL,ATL,HOME,INDOOR,67,-0.18607098138682657,-0.4790208476084855,0.10656887294120483,0.3283582089552239,0.0,0.13432835820895522,31,37,2,6
2005,1,2005_01_IND_BAL,BAL,HOME,OUTDOOR,78,-0.16203093088160342,-0.19724933157578625,-0.07743090111762285,0.3717948717948718,0.0,0.2948717948717949,58,21,4,3
2005,1,2005_01_HOU_BUF,BUF,HOME,OUTDOOR,65,-0.058410055548525776,-0.023113899384484146,-0.13849938543075146,0.38461538461538464,0.0,0.16923076923076924,33,34,1,6
2005,1,2005_01_NO_CAR,CAR,HOME,OUTDOOR,64,0.0783295706496574,0.042742447018986794,0.16173477329313754,0.421875,0.0,0.078125,41,25,4,3
2005,1,2005_01_CHI_WAS,CHI,AWAY,OUTDOOR,50,-0.20082808658480644,-0.1425585902761668,-0.30441830224461025,0.36,0.02,0.0,32,18,2,0
2005,1,2005_01_CIN_CLE,CIN,AWAY,OUTDOOR,71,0.1109604842331208,0.13078901324516687,0.08679446449968964,0.6197183098591549,0.0,0.09859154929577464,39,32,3,2
2005,1,2005_01_CIN_CLE,CLE,HOME,OUTDOOR,61,-0.18268667228642058,-0.1678426048263561,-0.21814750010768572,0.47540983606557374,0.0,0.3770491803278688,43,18,2,2
2005,1,2005_01_DAL_SD,DAL,AWAY,OUTDOOR,64,0.29279070964548737,0.7791191274300218,-0.16152923554182053,0.453125,0.0,0.078125,32,33,3,3
2005,1,2005_01_DEN_MIA,DEN,AWAY,OUTDOOR,73,-0.26054109923847735,-0.16147321259433572,-0.5304611643776298,0.410958904109589,0.0,0.2054794520547945,55,20,2,2
2005,1,2005_01_GB_DET,DET,HOME,INDOOR,64,-0.0630272549460642,0.11428603907780988,-0.20321887812266748,0.421875,0.015625,0.0625,35,30,2,1
2005,1,2005_01_GB_DET,GB,AWAY,INDOOR,67,-0.2386892259732556,-0.20141236878493252,-0.3575092082610354,0.44776119402985076,0.08955223880597014,0.29850746268656714,51,16,1,1
2005,1,2005_01_HOU_BUF,HOU,AWAY,OUTDOOR,50,-0.37259060978889463,-0.40471347654238343,0.008066085045752317,0.34,0.02,0.22,32,23,0,2
2005,1,2005_01_IND_BAL,IND,AWAY,OUTDOOR,61,0.09090616738759592,0.2432314168269697,-0.16076163603397814,0.47540983606557374,0.0,0.29508196721311475,38,23,3,3
2005,1,2005_01_SEA_JAX,JAX,HOME,OUTDOOR,65,0.04551499094814062,0.21314725108646057,-0.2054405931693812,0.46153846153846156,0.0,0.2923076923076923,37,30,5,1
2005,1,2005_01_NYJ_KC,KC,HOME,OUTDOOR,62,0.23525013088909608,0.2443529442594997,0.22725068883631716,0.5161290322580645,0.0,0.0,29,33,1,6
2005,1,2005_01_STL_SF,LA,AWAY,OUTDOOR,90,0.12108902049561342,0.1941044488339685,-0.046229195263650685,0.43333333333333335,0.0,0.2111111111111111,64,27,3,3
2005,1,2005_01_DAL_SD,LAC,HOME,OUTDOOR,64,0.07955041634704685,0.010429653976308672,0.18057306904274112,0.421875,0.0,0.203125,38,26,2,1
2005,1,2005_01_OAK_NE,LV,AWAY,OUTDOOR,69,-0.009555263741724733,0.020326911610491733,-0.07339445653964173,0.34782608695652173,0.014492753623188406,0.0,47,22,5,3
2005,1,2005_01_DEN_MIA,MIA,HOME,OUTDOOR,72,0.07699785041364117,0.2474340211600065,-0.1498760235298312,0.4444444444444444,0.0,0.2222222222222222,40,33,2,2
2005,1,2005_01_TB_MIN,MIN,HOME,INDOOR,57,-0.3263599474571253,-0.14722448860316775,-0.6714559680549428,0.3508771929824561,0.0,0.5614035087719298,43,16,3,1
2005,1,2005_01_OAK_NE,NE,HOME,OUTDOOR,69,0.11835904953920323,0.38613836494524306,-0.2737463765910694,0.43478260869565216,0.028985507246376812,0.30434782608695654,41,28,6,2
2005,1,2005_01_NO_CAR,NO,AWAY,OUTDOOR,61,0.1518708792988394,0.418333493653805,-0.037676634323416336,0.4918032786885246,0.0,0.19672131147540983,31,33,3,2
2005,1,2005_01_ARI_NYG,NYG,HOME,OUTDOOR,51,-0.062487619107260424,-0.1700088886011924,0.06840783940709155,0.37254901960784315,0.0,0.1568627450980392,28,23,4,5
2005,1,2005_01_NYJ_KC,NYJ,AWAY,OUTDOOR,71,-0.09414903814314117,0.12554633788143596,-0.552643735933563,0.4084507042253521,0.0,0.014084507042253521,48,23,5,1
2005,1,2005_01_PHI_ATL,PHI,AWAY,INDOOR,65,-0.18628033661068633,-0.07168466721971829,-0.6037359893920698,0.35384615384615387,0.0,0.15384615384615385,51,14,2,2
2005,1,2005_01_TEN_PIT,PIT,HOME,OUTDOOR,53,0.3819688859061812,1.340856989988914,0.09699614922993066,0.4528301886792453,0.0,0.1509433962264151,13,41,4,5
2005,1,2005_01_SEA_JAX,SEA,AWAY,OUTDOOR,61,-0.07518694598655232,-0.041808215054598724,-0.11009090080073006,0.47540983606557374,0.0,0.0,44,19,2,2
2005,1,2005_01_STL_SF,SF,HOME,OUTDOOR,40,0.007008839538320899,0.4141545518345776,-0.44299431615754176,0.35,0.0,0.175,21,19,4,0
2005,1,2005_01_TB_MIN,TB,AWAY,INDOOR,63,-0.09098332706424925,-0.14837142178679213,-0.023700733251612763,0.30158730158730157,0.0,0.0,34,29,4,2
2005,1,2005_01_TEN_PIT,TEN,AWAY,OUTDOOR,54,-0.06205624466141065,0.030294938711449504,-0.19638523865829816,0.4074074074074074,0.0,0.018518518518518517,32,22,2,3
2005,1,2005_01_CHI_WAS,WAS,HOME,OUTDOOR,68,-0.02717128555934109,0.05365586953778421,-0.09489133442450012,0.39705882352941174,0.0,0.17647058823529413,31,37,2,3
2005,2,2005_02_STL_ARI,ARI,HOME,OUTDOOR,66,-0.10542278883583618,-0.15916258916258813,0.06251408718526363,0.3939393939393939,0.0,0.30303030303030304,50,16,7,5
2005,2,2005_02_ATL_SEA,ATL,AWAY,OUTDOOR,54,-0.01831220559499882,0.1893265792008104,-0.12667749236736978,0.35185185185185186,0.0,0.09259259259259259,29,28,3,2
2005,2,2005_02_BAL_TEN,BAL,AWAY,OUTDOOR,64,-0.27856115670874715,-0.14965416637121462,-0.7842731957252209,0.296875,0.0,0.390625,51,13,1,1
2005,2,2005_02_BUF_TB,BUF,AWAY,OUTDOOR,51,-0.3047335508699511,-0.26889577155050476,-0.3797399125554982,0.2549019607843137,0.0,0.2549019607843137,38,17,1,1
2005,2,2005_02_NE_CAR,CAR,HOME,OUTDOOR,64,-0.16758783630393737,-0.20796159288923566,-0.1319639334345565,0.296875,0.0,0.09375,30,34,2,4
2005,2,2005_02_DET_CHI,CHI,HOME,OUTDOOR,60,0.13368464331142604,0.0607173548778519,0.18232950226714215,0.45,0.0,0.0,24,36,3,8
2005,2,2005_02_MIN_CIN,CIN,HOME,OUTDOOR,77,0.24372831228878591,0.4678823154951845,-0.025516704552703433,0.5064935064935064,0.09090909090909091,0.11688311688311688,42,36,2,5
